"","lcgzipn","lcggeoxn2","lcggeoyn2","school_name","year","enrnumtot","xdbn","school_status"
"1",10010,-73.9825,40.73866,"47 THE AMERICAN SIGN LANGUAGE",1996,NA,"",0
"2",10010,-73.9825,40.73866,"47 THE AMERICAN SIGN LANGUAGE",1997,NA,"",0
"3",10010,-73.9825,40.73866,"47 THE AMERICAN SIGN LANGUAGE",1998,NA,"",0
"4",10010,-73.9825,40.73866,"47 THE AMERICAN SIGN LANGUAGE",1999,NA,"",0
"5",10010,-73.9825,40.73866,"47 THE AMERICAN SIGN LANGUAGE",2000,NA,"",0
"6",10010,-73.9825,40.73866,"47 THE AMERICAN SIGN LANGUAGE",2001,NA,"",0
"7",10010,-73.9825,40.73866,"47 THE AMERICAN SIGN LANGUAGE",2002,NA,"",0
"8",10010,-73.9825,40.73866,"47 THE AMERICAN SIGN LANGUAGE",2003,NA,"",0
"9",10010,-73.9825,40.73866,"47 THE AMERICAN SIGN LANGUAGE",2004,NA,"",0
"10",10010,-73.9825,40.73866,"47 THE AMERICAN SIGN LANGUAGE",2005,NA,"",0
"11",10010,-73.9825,40.73866,"47 THE AMERICAN SIGN LANGUAGE",2006,NA,"",0
"12",10010,-73.9825,40.73866,"47 THE AMERICAN SIGN LANGUAGE",2007,NA,"",0
"13",10010,-73.9825,40.73866,"47 THE AMERICAN SIGN LANGUAGE",2008,NA,"",0
"14",10010,-73.9825,40.73866,"47 THE AMERICAN SIGN LANGUAGE",2009,NA,"",0
"15",10010,-73.9825,40.73866,"47 THE AMERICAN SIGN LANGUAGE",2010,NA,"",0
"16",10010,-73.9825,40.73866,"47 THE AMERICAN SIGN LANGUAGE",2011,157,"02M047",1
"17",10010,-73.9825,40.73866,"47 THE AMERICAN SIGN LANGUAGE",2012,174,"02M047",1
"18",10031,-73.9503,40.81824,"A. PHILIP RANDOLPH CAMPUS HS",1996,1646,"06M540",1
"19",10031,-73.9503,40.81824,"A. PHILIP RANDOLPH CAMPUS HS",1997,1644,"06M540",1
